0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "GET /web-logistics/forward/xiadan.do HTTP/1.1" 200 14579
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "GET /resource/js/bootstrap.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "GET /resource/css/bootstrap.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "GET /web-logistics/resource/js/jquery-1.8.3.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "GET /web-logistics/js/sanjiliandong.js HTTP/1.1" 200 11036
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/order/getStore.do HTTP/1.1" 200 7094
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getP.do HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getC.do HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getA.do HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getP.do HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getC.do HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getC1.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getP.do HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getP1.do HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getC.do HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getA.do HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getA1.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getA.do HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getA.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getA.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:25 +0800] "POST /web-logistics/getArr/getA.do HTTP/1.1" 200 12
